"gene","ds1_PM","ds1_MM","ds1_BN","ds1_SN","ds1_PMN","ds2_PM","ds2_MM","ds2_BN","ds2_SN","ds2_PMN","ds1_cluster","ds2_cluster","ds1_var","ds2_var","ds1_median","ds2_median"
"ENSG00000001561",-0.5938361026,1.6035506502,0.7351847428,-0.7913613515,-0.9535379388,-1.8230262328,0.5409989286,1.1375724138,0.2714646271,-0.1270097367,"ds1_1","ds2_1",72.4197745013,83.8392599017,23.9953743857,54.0040474125
"ENSG00000003400",-0.2728354736,1.7587388161,0.3596531715,-0.9248704281,-0.9206860859,-1.9081173664,0.6140947734,0.9586553814,0.2256491207,0.1097180909,"ds1_1","ds2_1",67.5050592657,37.554206418,49.8699045967,58.3694709454
"ENSG00000006451",-0.4436602177,1.3998586242,0.8792445431,-0.4783667965,-1.357076153,-1.6804340458,0.3799984819,1.0559751252,0.7881050775,-0.5436446388,"ds1_1","ds2_1",2.5151777971,36.9760046256,10.5810928014,41.370338248
"ENSG00000006534",-0.243041448,1.1222042449,1.1313395933,-0.5690177248,-1.4414846654,-1.8900940828,0.4170904843,0.9518653049,0.5859456724,-0.0648073788,"ds1_1","ds2_1",69.6444058977,32.2058398381,62.3879734027,88.089043076
"ENSG00000007237",-1.1852145474,1.3539768719,0.8220452508,-1.0410249414,0.050217366,-1.8694363547,0.5838128492,0.8482239004,0.6365677724,-0.1991681673,"ds1_1","ds2_1",68.7192830298,73.662908355,70.3960682278,41.2836079792
"ENSG00000009335",0.015020298,1.2459352901,0.9656864206,-0.9793395452,-1.2473024636,0.7105836201,0.5874119198,0.8735115507,-0.3683714283,-1.8031356623,"ds1_1","ds2_1",55.8253830587,3.9895923677,56.8950563747,40.9655969934
"ENSG00000035687",-0.6950026102,1.4429046492,0.9711342287,-0.7748038783,-0.9442323894,-1.7589825746,0.8419079729,1.0868124297,-0.0565445008,-0.1131933272,"ds1_1","ds2_1",89.4767273779,61.3183000867,69.0951141949,95.345475571
"ENSG00000047849",0.4579157935,1.0118284285,0.8703116003,-0.8018272526,-1.5382285697,0.5836068578,0.5592384419,1.2107523339,-1.4124078959,-0.9411897377,"ds1_1","ds2_1",13.2986412258,89.0430760335,17.5195143105,34.9522983521
"ENSG00000056097",-1.0569046199,0.508797397,1.4289584488,0.3322988347,-1.2131500605,0.6143867991,0.9449148017,0.7670818105,-0.696704575,-1.6296788363,"ds1_1","ds2_1",28.9100896213,17.7797051171,48.1931193987,16.3920208153
"ENSG00000057608",-0.2645586326,1.176459048,-0.2227471188,-1.621069975,0.9319166784,-0.8967614307,0.8944312246,0.7764492092,-1.5035961626,0.7294771595,"ds1_1","ds2_1",29.5750216826,1.5322347499,86.5278982365,97.6293726511
"ENSG00000064601",-1.3082587513,-0.4946772234,1.5611532018,0.6581644596,-0.4163816868,0.3896617519,1.3515263057,0.5692896579,-1.0362934652,-1.2741842502,"ds1_1","ds2_1",47.32581671,16.565481353,77.3055796473,88.0023128072
"ENSG00000065534",-0.7598017444,-0.557463818,0.6231299541,1.6666761437,-0.9725405355,-0.40126941,-0.2168764781,1.8613107247,-0.0949229296,-1.1482419071,"ds1_1","ds2_1",1.1853136745,93.3217692975,1.2720439433,21.6247470367
"ENSG00000066322",-0.8768653867,1.7668858273,-0.2031689103,-0.9884302025,0.3015786721,0.4805288567,0.8585483667,0.9349918211,-0.6022065101,-1.6718625343,"ds1_1","ds2_1",9.6270598439,48.8291413703,53.050014455,33.4200636022
"ENSG00000071859",-0.4669533099,1.1227285229,1.2795332755,-1.043550207,-0.8917582816,0.0580548285,1.4003469371,0.6352334875,-0.5775190954,-1.5161161576,"ds1_1","ds2_1",6.0711188205,61.376120266,36.9760046256,15.3512575889
"ENSG00000072958",-0.786073188,0.1885339155,1.7889554518,-0.1285646206,-1.0628515587,-1.7200600293,0.5411644324,0.3650557388,1.20820053,-0.394360672,"ds1_1","ds2_1",57.4154379879,0.9251228679,68.6325527609,83.1454177508
"ENSG00000077380",0.0485482751,0.9863672279,1.1628474478,-0.740114437,-1.4576485139,0.2327021829,-0.6618234376,0.8239825105,1.1720463797,-1.5669076354,"ds1_1","ds2_1",58.6007516623,6.9095114195,44.810638913,55.0159005493
"ENSG00000083312",-1.5540725696,0.5148373234,1.3435579317,0.3317533782,-0.6360760637,0.3532590107,0.7244382698,0.6796829479,0.2039538072,-1.9613340357,"ds1_1","ds2_1",31.4252674183,4.0185024574,64.0936686904,75.4842440012
"ENSG00000085719",-0.3884342847,1.6050618072,0.6801857407,-0.8732651585,-1.0235481047,-1.6530041998,0.752564797,1.1297179898,0.3318337012,-0.5611122882,"ds1_1","ds2_1",94.3336224342,56.2301243134,91.1246024863,98.2075744435
"ENSG00000090382",-0.2446783182,1.7229120573,0.3962258588,-0.76706482,-1.1073947779,-1.8356545049,0.5029329579,0.5466566775,1.0133744637,-0.2273095942,"ds1_1","ds2_1",99.7976293727,38.3925990171,99.9132697311,99.6819890142
"ENSG00000100300",-0.4540594472,0.835205726,1.4675575479,-0.5825308069,-1.2661730198,-1.386913615,1.0623880684,1.1854514195,-0.1372817046,-0.7236441683,"ds1_1","ds2_1",94.9696444059,32.9575021683,95.4611159295,91.8762648164
"ENSG00000101367",-1.7183265663,0.2486149777,1.3255607647,0.4022597042,-0.2581088803,-1.718538765,0.9179176344,0.9253067432,0.3500198432,-0.4747054558,"ds1_1","ds2_1",57.6756287944,12.6626192541,75.2240531946,87.3952009251
"ENSG00000101997",-0.1715499505,1.0235882531,1.2334450158,-0.7059696593,-1.3795136591,0.132340268,0.8462145565,1.1851069216,-1.5923269486,-0.5713347975,"ds1_1","ds2_1",44.6949985545,25.6143394045,25.6432494941,58.8320323793
"ENSG00000102189",0.1636336529,1.3931144868,0.6057335191,-0.6766549326,-1.4858267262,-0.6525026443,0.5107634275,0.9530501992,0.8344944157,-1.6458053981,"ds1_1","ds2_1",17.3749638624,3.9606822781,20.1214223764,61.144839549
"ENSG00000104918",-0.5649666641,1.7805297247,0.4161304875,-0.7603937851,-0.871299763,-1.8750345658,0.4692858953,0.6335183598,0.917387584,-0.1451572734,"ds1_1","ds2_1",96.7620699624,95.345475571,85.0823937554,85.5449551894
"ENSG00000105254",-1.0134129016,0.7479799494,1.4894856254,-0.1399032675,-1.0841494056,-1.8658371741,0.2748926831,0.9871034084,0.6803386217,-0.0764975391,"ds1_1","ds2_1",62.821624747,12.5758889853,61.0291991905,63.4576467187
"ENSG00000105755",0.0663724605,1.6557152249,0.3350660316,-0.9145772154,-1.1425765016,-0.2001653983,1.4875138937,0.6218008518,-0.4358385581,-1.4733107891,"ds1_1","ds2_1",70.8297195721,32.3214801966,54.8135299219,80.1387684302
"ENSG00000105851",-1.8379091217,0.2353581675,1.1022729602,0.5867039084,-0.0864259144,-1.3138795325,0.7538769067,1.351993897,0.1349834597,-0.9269747309,"ds1_1","ds2_1",74.0965596993,17.9820757444,83.665799364,53.9751373229
