gene,F517_21h,F517_29h,F517_33h,F517_37h,F517_41h,F517_45h,F517_49h,F517_53h,F517_57h
SCO0003,0.289506617194985,2.50250034052918,0,0,0,0,0,0,0
SCO0004,2.03952836418664,4.0198995574377,0.830074998557688,1.15200309344505,0,2.03952836418664,2.03952836418664,1.18762700317577,1
SCO0005,0.289506617194985,0.736965594166206,0.830074998557688,0,1.15200309344505,1.28950661719499,1.28950661719499,0,1.53051471669878
SCO0010,0.289506617194985,2.50250034052918,0,2.47393118833241,0,0,2.03952836418664,0,0
SCO0020,0.289506617194985,0.736965594166206,0,0,1.15200309344505,0,0,0,0
SCO0021,6.97090476933069,6.79369361600166,4.73696559416621,5.71881824745595,5.50603203149944,5.41691478651951,5.45578384162215,4.42253203582577,5.25633975325979
SCO0022,4.30580842952409,4.23946593469539,4.25633975325979,3.4594316186373,4.11547721741994,3.23946593469539,4.33786963875638,3.80161855250846,4.41503749927884
SCO0025,4.11547721741994,2.50250034052918,2.92810708151821,3.25633975325979,1.15200309344505,2.03952836418664,2.03952836418664,1.58496250072116,1
SCO0026,8.6913558021464,7.98994633533608,7.19530384780923,7.44937795397337,7.29155444584384,7.26938646037653,7.30682120249715,6.45760888303048,6.9962380812038
SCO0027,4.4594316186373,3.67556504950206,3.57826784814715,2.78427130894456,2.3536369546147,3.23946593469539,3.25633975325979,3.15200309344505,2.78427130894456
SCO0028,2.03952836418664,0.736965594166206,2.95935801550265,2,1.15200309344505,1.28950661719499,1.28950661719499,3.03952836418664,2
SCO0029,5.60815212809305,4.55799545312089,3.71271804791953,2.78427130894456,3.53051471669878,3.23946593469539,3.51657552574091,3.34577483684173,3.83007499855769
SCO0030,2.03952836418664,3.23946593469539,3.25633975325979,3.74893823583228,3.26470322619441,3.86349800009514,3.25633975325979,3.25633975325979,2.93859945533586
SCO0031,7.05166211982249,6.61470984411521,5.24792751344359,7.11894107272351,6.94641895979516,7.18652696877944,7.07681559705083,6.78935250427819,6.87310228215224
SCO0033,5.71271804791953,5.00998408857262,6.86487396113495,11.2873276095669,11.0224448780129,11.0005477944947,11.0668366621293,10.9691466518528,11.0383855750363
SCO0034,3.62449086490779,4.0198995574377,3.95935801550265,3.62449086490779,3.70659194512269,2.95935801550265,3.70043971814109,3.80161855250846,4.41503749927884
SCO0035,2.03952836418664,3.67556504950206,2.32192809488736,3.03952836418664,3.26470322619441,3.23946593469539,1.28950661719499,2.25633975325979,3.63097489847799
SCO0036,4.11547721741994,5.10619940383193,2.48828648130948,3.62449086490779,3.70659194512269,3.4594316186373,3.99498192523338,3.86899398784999,3.92810708151821
SCO0037,8.66849107435502,8.47393118833241,7.60774127943844,7.65900482620917,7.56309032024365,7.6350126706096,7.71348198494606,7.62570884306447,7.6669143583064
SCO0038,6.27094416616856,6.57994442595453,4.71577137189708,6.37696945844532,6.14974711950468,6.06847973788277,6.13841402869709,5.27301849440642,5.01495034146597
SCO0039,4.11547721741994,5.36535037517849,4.82442843541655,4.37696945844532,4.21377929103174,4.39231742277876,4.68805599368526,4.23095443483987,4.41503749927884
SCO0040,4.4594316186373,4.79585928321977,5.80161855250846,4.28950661719499,4.69426114321197,5.24370292758186,5.28950661719499,4.68805599368526,5.11547721741994
SCO0041,2.03952836418664,2.50250034052918,4.11084576868829,3.4594316186373,3.03952836418664,2.95935801550265,3.51657552574091,4.11547721741994,3.05889368905357
SCO0042,2.78427130894456,4.0198995574377,5.23095443483987,3.74893823583228,4.21377929103174,4.0198995574377,4.68805599368526,4.28128611039002,4.17880315278877
SCO0043,5.60815212809305,5.68494338181792,4.79585928321977,6.03464614280689,6.22881869049588,5.92018741822198,5.97218205586024,5.68026183620346,6.20945336562895
SCO0044,4.79585928321977,4.23946593469539,4.37696945844532,3.62449086490779,4.91222403991156,3.86349800009514,4.10619940383193,3.95935801550265,4.57154198495883
SCO0045,2.03952836418664,2.50250034052918,1.73696559416621,2.78427130894456,1.15200309344505,0,1.28950661719499,1.58496250072116,2
SCO0046,3.90153736111431,3.23946593469539,4.71577137189708,4.37696945844532,3.26470322619441,3.66296501272243,2.50250034052918,4.63742992061529,4.67556504950206
SCO0047,8.14579065657989,7.81199898587503,8.04409048996853,6.97982211806237,7.35804063969164,7.59577548620879,7.58329174773664,7.64265344269307,7.6122541923889
SCO0048,5.1963972128035,4.90153736111431,3.42998784074482,3.92810708151821,3.97982211806237,3.66296501272243,3.25633975325979,2.93859945533586,3.05889368905357
SCO0049,5.11547721741994,5.00998408857262,3.23946593469539,4.17880315278877,3.84130225398094,4.28950661719499,4.22239242133645,3.53051471669878,4.0198995574377
SCO0050,6.81733901063023,6.76376565350992,4.3536369546147,6.39040783277013,6.45212681801406,6.22239242133645,6.11316335158169,5.55458885167764,6.17214966655683
SCO0051,5.36535037517849,5.00998408857262,4.57826784814715,4.9490160712812,5.31791503238074,5.50603203149944,4.68805599368526,4.39231742277876,4.72489276186563
SCO0053,7.28950661719499,7.07086633071964,5.82442843541655,6.58161905764679,6.36923380966572,6.2426448453629,6.27922364393312,5.83289001416474,6.19092208273735
SCO0055,9.86624861111117,9.87898753420622,9.81360306972278,9.3264294871223,8.93205066950692,8.97839268486699,9.04409048996853,8.89717318430607,8.8230133347235
SCO0056,2.03952836418664,0.736965594166206,0.830074998557688,0,0,0,2.03952836418664,0,1
