,number_in_list,fold_enrichment,fdr,expected,number_in_reference,pValue,plus_minus,id,label,main_category
2,43,2.2528665791175833,0.000282228369586,19.086793864571643,939,5.143894949933858e-07,+,GO:0036094,small molecule binding,molecularFunction
1,69,1.7634005258545131,0.00034645262568900004,39.12894375857339,1925,4.2096309318241355e-07,+,GO:0097159,organic cyclic compound binding,molecularFunction
0,69,1.7634005258545131,0.0006929052513780001,39.12894375857339,1925,4.2096309318241355e-07,+,GO:1901363,heterocyclic compound binding,molecularFunction
5,37,0.56180981595092,0.0009069624017850001,65.85858585858585,3240,3.3060597870000003e-06,-,,UNCLASSIFIED,molecularFunction
4,126,1.297078090880732,0.001088354882142,97.14141414141413,4779,3.3060597870000003e-06,+,GO:0003674,molecular_function,molecularFunction
7,36,2.224959151586151,0.0011108855740510001,16.180072328220476,796,5.399200845e-06,+,GO:1901265,nucleoside phosphate binding,molecularFunction
6,36,2.224959151586151,0.0012695835132020001,16.180072328220476,796,5.399200845e-06,+,GO:0000166,nucleotide binding,molecularFunction
3,80,1.573652747489961,0.001349010871306,50.83713680009976,2501,3.278276722e-06,+,GO:0005488,binding,molecularFunction
8,38,2.131653503648103,0.0013774552810010001,17.826536974685123,877,7.531650989e-06,+,GO:0016740,transferase activity,molecularFunction
9,5,11.180981595092026,0.02749543332923,0.44718792866941004,22,0.000167043944892,+,GO:0004312,fatty acid synthase activity,molecularFunction
10,92,1.351063089460672,0.031704599841037004,68.0945255019329,3350,0.00021187764170800002,+,GO:0003824,catalytic activity,molecularFunction
12,46,1.706659634122644,0.03412901037798,26.953236064347173,1326,0.000269548684637,+,GO:0043167,ion binding,molecularFunction
11,33,1.9396398179299421,0.035050316199073006,17.013468013468014,837,0.00025553085928800004,+,GO:0043168,anion binding,molecularFunction
13,17,2.629991897210325,0.041246694903695,6.463898241676019,318,0.000350822435389,+,GO:0016772,"transferase activity, transferring phosphorus-containing groups",molecularFunction
14,6,5.366871165644172,0.140478896083073,1.117969821673525,55,0.0012801843506960002,+,GO:0016779,nucleotidyltransferase activity,molecularFunction
