gene,exp1_value1,exp1_value2,exp1_value3,exp1_value4,exp1_value5,exp1_value6,exp1_value7,exp1_value8,exp1_value9,exp2_value1,exp2_value2,exp2_value3,exp2_value4,exp2_value5,exp2_value6,exp2_value7,exp2_value8,exp2_value9,exp1_cluster,exp2_cluster
SCO0201,0.6213245622,-2.1279136722,-0.9289422827,0.1038663563,-0.3960270768,0.3993058344,0.5398240166,0.844045881,0.9445163812,0.9306777688000001,-1.7936652722000002,-1.5860310872999999,0.29881956390000003,0.2847871437,0.150053093,0.1912376758,0.8333064629,0.6908146514,exp1_1,exp2_1
SCO0203,0.9161641554000001,-2.3379237808,0.0877425013,0.5247994891000001,-0.7595520682,0.4135486195,0.1721739649,0.21687297500000002,0.7661741437,-1.4059102421,-1.3422708024,-1.218093315,0.6110158697,0.7151795403,0.4043001278,0.6891784442000001,0.676501153,0.8700992247,exp1_1,exp2_1
SCO0214,0.34088070060000003,-2.2276157412,-0.9433675203,0.49908519160000003,-0.20507989570000001,0.4277380682,0.48977904510000003,0.747249099,0.8713310527,-1.9445007255000002,-1.2590993133000001,0.0722287504,0.1281440016,0.0454140466,1.2802970938,0.7068141010000001,0.4872851982,0.4834168475,exp1_1,exp2_1
SCO0219,0.22479230560000002,-2.1377023127,-0.4865665712,0.6489971404,-0.6170911357000001,-0.0166781388,0.2508972185,1.0993068881,1.0340446058,1.3471909599,-0.4680403957,-1.1845094144,-0.1997098554,-0.8628811306,1.3611197438,-0.5245613289000001,1.1344604414,-0.6030690202,exp1_1,exp2_1
SCO0246,-0.7217595461,-1.5843140756,0.2475027602,2.0393041796,0.2786258618,-0.014820524600000001,0.12301035390000001,-0.7262057035,0.35865669440000003,-0.36651875510000004,-1.6208734905000002,0.8228855733,-0.4509542842,0.2245299487,-0.7700231587,1.9067454902,-0.0255291183,0.27973779460000003,exp1_1,exp2_1
SCO0247,-0.9230101351000001,-1.5337531367000001,0.5479516432,1.4879040285,0.48178096800000003,0.5615145766,0.6548111185000001,-1.133441102,-0.1437579609,-0.8457270957,0.2145282131,-1.6247350970999999,0.8947522516,0.9388576296000001,-0.7214811239000001,1.3320083078,-0.6438435751,0.45564048970000004,exp1_1,exp2_1
SCO0527,-0.44190559560000003,-2.037730665,-0.24698630540000002,1.2409589053,-0.21204794200000002,0.7545801104000001,0.4395218866,-0.49553904810000005,0.9991486538000001,-1.7045886992,1.2519585736,0.09293074750000001,0.0634182459,1.0052643297,-0.9895726755,0.8323513397000001,-0.8587528368,0.3069909752,exp1_1,exp2_1
SCO0622,-0.0787734659,-2.179876639,-0.4654795714,0.6762241686,0.7793457967,0.8437968143,0.29320097840000003,-0.6938203194,0.8253822378000001,-2.4397912113,0.3143882756,-0.6702343458000001,0.4809104172,0.7780246117,0.49749353500000004,0.2563473632,0.24460098800000002,0.5382603664,exp1_1,exp2_1
SCO0681,-2.1057402384,0.189945937,-0.9220859542000001,1.4226050163,0.5819842986,0.2351811325,0.3567507206,-0.1087948338,0.3501539213,-1.6890376785,-1.0677256851,-0.49699499999999996,0.0241650701,0.5891114802,1.1193833384,0.8577226391,1.1074882567,-0.44411242100000003,exp1_1,exp2_1
SCO0888,0.4480298634,-1.9753772918,0.7803710491,0.7911050501,0.6693154231,0.6148197256,0.4331674005,-0.6600493196,-1.1013819004,0.4824547742,-1.7732836401,-0.4779691784,-1.316778893,0.3259160289,0.6852240962,0.8144447735,1.190120004,0.0698720347,exp1_1,exp2_1
