gene,ds1_33h,ds1_41h,ds1_45h,ds1_49h,ds1_53h,ds1_57h,ds1_61h,ds1_65h,ds2_33h,ds2_41h,ds2_45h,ds2_49h,ds2_53h,ds2_57h,ds2_61h,ds2_65h,ds1_cluster,ds2_cluster,highlighted,profile_selected,ds1_var,ds2_var,ds1_median,ds2_median
SCO0506,-1.7795191605,0.5158351245,0.45446005170000003,1.5781754956,-0.3136682541,-1.1592762935,0.052045311600000005,0.6519477247000001,-0.5634873096,0.0789395954,1.2389198275,1.4197646018,0.6389032972,-0.37562345810000003,-0.6683417659,-1.7690747885,ds1_1,ds2_1,True,False,4.9064238746,35.2068696331,88.9731917046,66.4324746292
SCO0622,-1.3846666409,-1.0932676327,0.1616828536,1.8706607210000001,0.9037194318,0.0745845521,-0.7123319276000001,0.17961864290000001,-2.3917295047,0.3024784924,0.7770568284,0.6404775549,1.0589962195,-0.0889333731,-0.1596744078,-0.1386718096,ds1_1,ds2_1,True,False,25.4805260496,65.1053864169,81.9802731411,14.7540983607
SCO0782,-0.6918372056000001,-0.8244569174,-1.0513161201,2.0184505875,0.4049966894,-0.7282367872000001,-0.1057096693,0.9781094227,-1.4008850736,1.3511547515,0.6669936505,0.5480282559,1.1778241707000001,-0.3794702179,-0.9207202806,-1.0429252564,ds1_1,ds2_1,True,False,16.1608497724,84.3091334895,74.468892261,32.2404371585
SCO0803,-0.6956068169,0.07997713690000001,-0.1906675865,2.5100809516,-0.0183578058,-0.5985422684,-0.8778266539,-0.2090569571,0.8716730566,-0.3125172137,0.3703860698,1.8286481380000001,-1.1546799613,0.3882762074,-1.3071235035,-0.6846627933,ds1_1,ds2_1,True,False,48.5457764289,47.8532396565,76.1760242792,21.2334113973
SCO1152,-1.155887258,0.0516158045,0.4344279009,2.2394307773,-0.681125301,-0.891373858,-0.3139797458,0.3168916801,-0.6828187181,0.16311186500000002,-0.5865044363,0.7003768486,0.6308232715000001,-0.4920430938,1.8651354213,-1.5980811582,ds1_1,ds2_1,True,False,30.5766312595,51.912568306,92.0966110268,32.006245121
SCO1407,-0.574998412,-2.1347549103,0.8836226459000001,1.4641530651,0.053717306900000004,-0.2122020276,0.2138126783,0.3066496535,-0.9984618823,-1.5325656511,0.9326122111,1.8147027519,0.2859174021,-0.6124857917000001,0.1743802164,-0.0640992564,ds1_1,ds2_1,True,False,31.9549822964,60.8118657299,74.4436014163,26.9320843091
SCO1546,-1.4488554523000001,0.1656863667,-0.1902935034,2.354270827,-0.1623769688,-0.47452780200000005,-0.2034250312,-0.040478436,-0.5494179876,0.8171869143,1.0662971238,0.8196876070000001,1.0906728052,-0.6890795985,-0.8954618197,-1.6598850446,ds1_1,ds2_1,True,False,57.1952453212,41.5300546448,84.5725847243,58.2357533177
SCO1665,-1.6171679492000002,1.3667599251,0.1474766987,1.1600350824,-0.2568940253,-1.1180568392,-0.4666742941,0.7845214016000001,-0.4503657801,-0.2362025324,1.2902516464,1.5716329721,0.2348426308,0.13242667830000002,-0.8830011478,-1.6595844674,ds1_1,ds2_1,True,False,1.5806777946000001,83.3723653396,79.3753161356,36.7681498829
SCO1871,-1.5870652877,0.29551648950000003,0.9284770177,0.6300784813,-1.7789815459,0.49883457550000004,0.8290507038,0.1840895658,-0.1432299257,-0.4284644258,1.0392836414,0.966115908,0.312640798,0.9933438596,-0.6824635033,-2.0572263522,ds1_1,ds2_1,True,False,16.9322205362,69.4769711163,79.6535154274,36.3778298205
SCO2043,-0.2049266032,0.5895107282000001,1.9990545663,0.4378742326,-0.907345692,-1.5777698686,-0.33146783090000004,-0.0049295323,-1.4257302207,1.8169018848,0.2381825229,1.143529513,-0.2473119984,-0.0212540748,-0.9852569647,-0.5190606621,ds1_1,ds2_1,True,False,6.0318664643,67.5253708041,64.200809307,12.3341139735
SCO2079,-1.5761906971,-0.5757863162,-1.0196758806,1.8376875011,0.0448643083,0.1965349556,0.2915581311,0.8010079978,-0.2548874406,-0.3372630802,1.4964716936,0.8848584747,-0.0839755009,0.16979908700000002,-2.1633037582,0.2883005245,ds1_1,ds2_1,True,False,33.6621143146,57.2209211553,96.6995447648,5.3864168618
SCO2129,-0.444433051,0.32197855870000003,-0.3395793345,2.5327526262999998,-0.45513663520000003,-0.4219280237,-0.7853494333000001,-0.4083047073,-0.8852581758,0.1126232236,0.3286624611,1.3464224234,1.6482904575,-0.8233470363000001,-1.3087000154,-0.41869333810000003,ds1_1,ds2_1,True,False,33.5735963581,7.1038251366,83.5103692463,66.5886026542
SCO2369,-0.5215165628,1.8090499945,1.3007046,0.1035998583,-1.1172555447,-1.0823217182,-0.5716703946,0.0794097674,-1.619328573,0.6883774425,0.8055372271,1.3720403197,0.6850746128,0.003054077,-1.0929788932,-0.8417762129,ds1_1,ds2_1,True,False,16.8057663126,32.6307572209,89.9468892261,86.4168618267
